product_title,product_price,product_rating,product_highlights,product_description,product_reviews,product_link
"Apple iPhone 16 (Ultramarine, 256 GB)","₹84,900",4.6,"256 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 48MP + 12MP | 12MP Front Camera A18 Chip, 6 Core Processor Processor",iPhone 16. Built for Apple Intelligence. Featuring Camera Control. 48 MP Fusion camera. Five vibrant colours. And A18 chip.,Super and cool photo Satisfied I love it  My father's first iphoneColour is awesome and so light in weight It should be available with 256gbAnyways design and camera is awesome Finally I got it  and love it  Awesome..Loved It. iOS is always amazing. Best phone Doing good as of now! Awesome product,https://flipkart.com/apple-iphone-16-ultramarine-256-gb/p/itm03cecd3e85111?pid=MOBH4DQFMGE7UC8Q&lid=LSTMOBH4DQFMGE7UC8QXZXA8M&marketplace=FLIPKART&q=Iphone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=1e810824-eb08-4e8c-929b-bf2eeffc122f.MOBH4DQFMGE7UC8Q.SEARCH&ppt=None&ppn=None&ssid=pulutlcxmo0000001749322937415&qH=29e0a89b3149a9af
"Apple iPhone 13 (Midnight, 128 GB)","₹44,999",4.6,128 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 12MP + 12MP | 12MP Front Camera A15 Bionic Chip Processor,"iPhone 13. boasts an advanced dual-camera system that allows you to click mesmerising pictures with immaculate clarity. Furthermore, the lightning-fast A15 Bionic chip allows for seamless multitasking, elevating your performance to a new dimension. A big leap in battery life, a durable design, and a bright Super Retina XDR display facilitate boosting your user experience.","Camera quality is superb I switch to ios from android after 10 years so this review might help for migratorsIt’s been a month using the iPhone13 and this was my experience1. Design - its simple and no nonsense design . Expect white and pink rest of the colours are fingerprint magnets.  I have seen all the colours and I highly recommend the pink . It’s so light pink which makes it not girlish. See it for yourself it really looks so premium in light pink colour. For rest of it except white the aluminium frame wil... Awesome camera..I m love  it Amazing beast....As expected , didn't disappoint me,Had to sell hard chunk of kidneys to get it !!;pCamera quality is definitely a super upgradeBattery is super.. easily last throughout the day with heavy usage.Light weight looks stylish what else you need??Starlight color just wow!!!Apple it would have been better if you should  have given an adaptor. Increase 2k price and give it in box!!!Simple ....Edit 1 : After 14 days of usage highly satisfied with battery performance, Last thr... Awesome battery backup amazing camera, a all day batter backup  improved and brilliant IOs 16.1 oled display dolby speakers and lot more, just close your eyes and go for it. One of the best handy smartphones ever and in great discount given by flipkart in big billion days  LOOK - Its my first love apple i phone 13, first time purchase this phone but its look awesome in white colour love it.  hand feel too much premium.CAMERA - Mind blowing camera performance font camera and rear cameras take too much awesome qualities pictures . Night mode is supergood low light performance impressed mePERFORMANCE - its bionic a15 chipset faster ,have 60hz refresh rate but its beatable 120hz DISPLAY - uts OLD XDR RETINA display too much good look display i get 10 of 10 for d... I upgraded to 13 from xs and my experience with this had been extraordinary . The user interface and the camera is too good .Just in love with this extraordinary device .I just shared some photos clicked from this phone so that everyone can have an idea about how good the camera is compared all other flagship devices . The lens inside the device is so efficient that it  automatically reduces the noise in the picture making it very crisp and clear  . Happy to have this phone Best phone for day to day use and photography/videography. Best phone in recent times I have used in my life",https://flipkart.com/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&q=Iphone&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=1e810824-eb08-4e8c-929b-bf2eeffc122f.MOBG6VF5Q82T3XRS.SEARCH&ppt=None&ppn=None&ssid=pulutlcxmo0000001749322937415&qH=29e0a89b3149a9af
"Apple iPhone 16 (Teal, 256 GB)","₹84,900",4.6,"256 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 48MP + 12MP | 12MP Front Camera A18 Chip, 6 Core Processor Processor",iPhone 16. Built for Apple Intelligence. Featuring Camera Control. 48 MP Fusion camera. Five vibrant colours. And A18 chip.,Super and cool photo Satisfied I love it  My father's first iphoneColour is awesome and so light in weight It should be available with 256gbAnyways design and camera is awesome Finally I got it  and love it  Awesome..Loved It. iOS is always amazing. Best phone Doing good as of now! Awesome product,https://flipkart.com/apple-iphone-16-teal-256-gb/p/itm2b7be11cfadef?pid=MOBH4DQFYKJHESFG&lid=LSTMOBH4DQFYKJHESFG4RZ0KX&marketplace=FLIPKART&q=Iphone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=1e810824-eb08-4e8c-929b-bf2eeffc122f.MOBH4DQFYKJHESFG.SEARCH&ppt=None&ppn=None&ssid=pulutlcxmo0000001749322937415&qH=29e0a89b3149a9af
"Apple iPhone 16 (White, 128 GB)","₹74,900",4.6,"128 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 48MP + 12MP | 12MP Front Camera A18 Chip, 6 Core Processor Processor",iPhone 16. Built for Apple Intelligence. Featuring Camera Control. 48 MP Fusion camera. Five vibrant colours. And A18 chip.,Super and cool photo Satisfied I love it  My father's first iphoneColour is awesome and so light in weight It should be available with 256gbAnyways design and camera is awesome Finally I got it  and love it  Awesome..Loved It. iOS is always amazing. Best phone Doing good as of now! Awesome product,https://flipkart.com/apple-iphone-16-white-128-gb/p/itm7c0281cd247be?pid=MOBH4DQF849HCG6G&lid=LSTMOBH4DQF849HCG6GXHBPXY&marketplace=FLIPKART&q=Iphone&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=1e810824-eb08-4e8c-929b-bf2eeffc122f.MOBH4DQF849HCG6G.SEARCH&ppt=None&ppn=None&ssid=pulutlcxmo0000001749322937415&qH=29e0a89b3149a9af
"Apple iPhone 15 (Black, 128 GB)","₹64,900",4.6,"128 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 48MP + 12MP | 12MP Front Camera A16 Bionic Chip, 6 Core Processor Processor","Experience the iPhone 15 – your dynamic companion. Dynamic Island ensures you stay connected, bubbling up alerts seamlessly while you're busy. Its durable design features infused glass and aerospace-grade aluminum, making it dependable and resistant to water and dust. Capture life with precision using the 48 MP Main Camera, perfect for any shot. Powered by the A16 Bionic Processor, it excels in computational photography and more, all while conserving battery life. Plus, it's USB-C compatible, simplifying your charging needs. Elevate your tech game with the iPhone 15 – innovation at your fingertips. Goodbye cable clutter, hello convenience.","Awesome  Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.60Hz display is a dealbreaker for some.Its not much noticeable.Thank u Flipkart for the best deal and quick delivery. Just go for it.Amazing one.Beautiful camera with super fast processor Totally happy!Camera 5Battery 5 Display 5Design 5 High quality camera Very nice Simply premium. Awesome photography experience. Battery backup is good . Display is much better than 14 version. Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15. Camera Quality Is Improved Loving It",https://flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WKFODHL&marketplace=FLIPKART&q=Iphone&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=1e810824-eb08-4e8c-929b-bf2eeffc122f.MOBGTAGPTB3VS24W.SEARCH&ppt=None&ppn=None&ssid=pulutlcxmo0000001749322937415&qH=29e0a89b3149a9af
"Apple iPhone 16e (Black, 256 GB)","₹64,900",4.6,"256 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 48MP Rear Camera | 12MP Front Camera A18 Chip, 6 Core Processor","iPhone 16e is built for Apple Intelligence and powered by the A18 chip. Shoot super-high-resolution photos with the 48 MP Fusion camera. And with supersized battery life, you have more time to text, browse and more.","For this price at least -display should be 120 hz Excellent battery condition Looks good till now Amazing Apple intelligence and AI features integrated with ChatGPT !!! Camera is good with few settings to use 48MP fusion image.Great customizations and considered longer battery life than iPhone 16 due to 4005 mAh battery. Battery dropped by 50% with 5 hour screen time of moderate usage. Clean and Secure UI experience. Migrated from Android to iPhone!!! The feel of iPhone16e in hand is Premium !! 5.7 inch would be sweet spot , 6 inch got extra spaces in screen Good The battery gets heated after using for one hour Let us ask ourselves, whether we need a show off phone or a trueblue utility device. If you opt for the latter, then 16e is for you. This is an absolute marvel with a minimalistic presence. Love it or hate it, this is an Apple product for India. Good If the camera had the wide angle feature in the portrait mode, it would be the better than iPhone 15.",https://flipkart.com/apple-iphone-16e-black-256-gb/p/itm24bcdb43505bd?pid=MOBH9JVHVW84WHJB&lid=LSTMOBH9JVHVW84WHJBWAP270&marketplace=FLIPKART&q=Iphone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=1e810824-eb08-4e8c-929b-bf2eeffc122f.MOBH9JVHVW84WHJB.SEARCH&ppt=None&ppn=None&ssid=pulutlcxmo0000001749322937415&qH=29e0a89b3149a9af
"Apple iPhone 15 (Green, 128 GB)","₹64,900",4.6,"128 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 48MP + 12MP | 12MP Front Camera A16 Bionic Chip, 6 Core Processor Processor","Experience the iPhone 15 – your dynamic companion. Dynamic Island ensures you stay connected, bubbling up alerts seamlessly while you're busy. Its durable design features infused glass and aerospace-grade aluminum, making it dependable and resistant to water and dust. Capture life with precision using the 48 MP Main Camera, perfect for any shot. Powered by the A16 Bionic Processor, it excels in computational photography and more, all while conserving battery life. Plus, it's USB-C compatible, simplifying your charging needs. Elevate your tech game with the iPhone 15 – innovation at your fingertips. Goodbye cable clutter, hello convenience.","Awesome  Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.60Hz display is a dealbreaker for some.Its not much noticeable.Thank u Flipkart for the best deal and quick delivery. Just go for it.Amazing one.Beautiful camera with super fast processor Totally happy!Camera 5Battery 5 Display 5Design 5 High quality camera Very nice Simply premium. Awesome photography experience. Battery backup is good . Display is much better than 14 version. Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15. Camera Quality Is Improved Loving It",https://flipkart.com/apple-iphone-15-green-128-gb/p/itm235cd318bde73?pid=MOBGTAGPYYWZRUJX&lid=LSTMOBGTAGPYYWZRUJXRK8B5V&marketplace=FLIPKART&q=Iphone&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=1e810824-eb08-4e8c-929b-bf2eeffc122f.MOBGTAGPYYWZRUJX.SEARCH&ppt=None&ppn=None&ssid=pulutlcxmo0000001749322937415&qH=29e0a89b3149a9af
"Apple iPhone 14 (Purple, 128 GB)","₹54,999",4.6,"128 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 12MP + 12MP | 12MP Front Camera A15 Bionic Chip, 6 Core Processor Processor","Stay productive and improve your performance with the Super Retina XDR display that is comfortable for the eyes. Powered with a 12 MP main camera, enjoy taking pictures with friends and family. With a built-in rechargeable lithium-ion battery and equipped with the MagSafe wireless charging, you can charge your phone quickly up to 50 % in just half an hour by using a 20 W adapter. This phone is loaded with a horde of exciting features such as Siri, face ID, barometer, ambient light sensors etc., and is also resistant to dust and water as it is IP68 rated. ","Good Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing.. Nice camera but battery drain fast specially on video recording Just amazing! Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go. The best camera best design !!1st iphone 14 !!i tried all  conditions light photo the quality is best i was impressed with device battery backup is good perform is very impressive  Amazing picture quality Excellent smart phone, Good battery backup and performance is very good, Good camera quality. Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone Love the camera",https://flipkart.com/apple-iphone-14-purple-128-gb/p/itm0b581eba85e08?pid=MOBGHWFHQFSQYBFU&lid=LSTMOBGHWFHQFSQYBFUV9WUEA&marketplace=FLIPKART&q=Iphone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=1e810824-eb08-4e8c-929b-bf2eeffc122f.MOBGHWFHQFSQYBFU.SEARCH&ppt=None&ppn=None&ssid=pulutlcxmo0000001749322937415&qH=29e0a89b3149a9af
"Apple iPhone 16e (Black, 512 GB)","₹84,900",4.6,"512 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 48MP Rear Camera | 12MP Front Camera A18 Chip, 6 Core Processor","iPhone 16e is built for Apple Intelligence and powered by the A18 chip. Shoot super-high-resolution photos with the 48 MP Fusion camera. And with supersized battery life, you have more time to text, browse and more.","For this price at least -display should be 120 hz Excellent battery condition Looks good till now Amazing Apple intelligence and AI features integrated with ChatGPT !!! Camera is good with few settings to use 48MP fusion image.Great customizations and considered longer battery life than iPhone 16 due to 4005 mAh battery. Battery dropped by 50% with 5 hour screen time of moderate usage. Clean and Secure UI experience. Migrated from Android to iPhone!!! The feel of iPhone16e in hand is Premium !! 5.7 inch would be sweet spot , 6 inch got extra spaces in screen Good The battery gets heated after using for one hour Let us ask ourselves, whether we need a show off phone or a trueblue utility device. If you opt for the latter, then 16e is for you. This is an absolute marvel with a minimalistic presence. Love it or hate it, this is an Apple product for India. Good If the camera had the wide angle feature in the portrait mode, it would be the better than iPhone 15.",https://flipkart.com/apple-iphone-16e-black-512-gb/p/itm193b2ff15d0ea?pid=MOBH9JVHVAB6JHTE&lid=LSTMOBH9JVHVAB6JHTEHIYWVE&marketplace=FLIPKART&q=Iphone&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=1e810824-eb08-4e8c-929b-bf2eeffc122f.MOBH9JVHVAB6JHTE.SEARCH&ppt=None&ppn=None&ssid=pulutlcxmo0000001749322937415&qH=29e0a89b3149a9af
"Apple iPhone 15 (Yellow, 128 GB)","₹64,900",4.6,"128 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 48MP + 12MP | 12MP Front Camera A16 Bionic Chip, 6 Core Processor Processor","Experience the iPhone 15 – your dynamic companion. Dynamic Island ensures you stay connected, bubbling up alerts seamlessly while you're busy. Its durable design features infused glass and aerospace-grade aluminum, making it dependable and resistant to water and dust. Capture life with precision using the 48 MP Main Camera, perfect for any shot. Powered by the A16 Bionic Processor, it excels in computational photography and more, all while conserving battery life. Plus, it's USB-C compatible, simplifying your charging needs. Elevate your tech game with the iPhone 15 – innovation at your fingertips. Goodbye cable clutter, hello convenience.","Awesome  Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.60Hz display is a dealbreaker for some.Its not much noticeable.Thank u Flipkart for the best deal and quick delivery. Just go for it.Amazing one.Beautiful camera with super fast processor Totally happy!Camera 5Battery 5 Display 5Design 5 High quality camera Very nice Simply premium. Awesome photography experience. Battery backup is good . Display is much better than 14 version. Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15. Camera Quality Is Improved Loving It",https://flipkart.com/apple-iphone-15-yellow-128-gb/p/itm825e4ad0b80ca?pid=MOBGTAGPDTKHHHZU&lid=LSTMOBGTAGPDTKHHHZUTQZRMS&marketplace=FLIPKART&q=Iphone&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=1e810824-eb08-4e8c-929b-bf2eeffc122f.MOBGTAGPDTKHHHZU.SEARCH&ppt=None&ppn=None&ssid=pulutlcxmo0000001749322937415&qH=29e0a89b3149a9af
