product_title,product_price,product_rating,product_highlights,product_description,product_reviews,product_link
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)  (12 GB RAM)","₹1,41,999",4.7,12 GB RAM | 512 GB ROM 17.53 cm (6.9 inch) Quad HD+ Display 200MP + 50MP + 50MP + 10MP | 12MP Front Camera 5000 mAh Battery 8 Elite for Galaxy Processor,NA,"Overall Excellent phone Excellent Product...I just loved it  Awesome product with best exchange price. Nice Mobile Totally worth it, just shifted from an iPhone, was worried that I won't like the interface but no, this phone feels great and very premium in your hands, loved the design and features and the performance it delivers will blow your mind Just one word Beast ( all rounder) ,just go for it Good Go for it I have upgraded over from an iPhone 12 Pro Max, and I'm incredibly impressed.  This phone is a powerhouse!  Here's my feedback:Camera: The camera system is simply outstanding.  The zoom capabilities are mind-blowing, and the image quality, even in low light, surpasses anything I've experienced on a smartphone, including my previous iPhone.  The detail and clarity are remarkable, and I'm constantly amazed by the photos I can capture.  The various shooting modes offer a lot of creative control... THIS IS MY FIRST ULTRA PHONE AFTER USING FOR SOME DAYS MY FIRST IMPRESSION IS JUST WOW. CAMERA IS OUTSTANDING, DISPLAY IS CRISP AND ANTI REFLECTING COATING IS ADDING MORE FLAVOURS TO ITS DISPLAY.BUILD OF THIS FONE IS SUPERB. BATTERY IS UPTO THE MARK EASILY GIVE ONE DAY WITH MODERATETO HEAVY USE. PERFORMANCE IS TOP NOTCH   AI IS AMAZING. ONE UI7.0 IS THE BEST",https://flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-black-512-gb/p/itmc5f14b041aa5b?pid=MOBH8K8UZPUKTTXK&lid=LSTMOBH8K8UZPUKTTXKDDLTOJ&marketplace=FLIPKART&q=samsung&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_0b0neJnqRDe5ZsPTWen3W_-P6RvvEs-z-0SmfO0g3BL6dYTSHXVaPVVSf7f_63rBGyfpc2sTjLg71I-P7agnP_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=9lwvsvu6f40000001748879475910&qH=fe546279a62683de
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)  (12 GB RAM)","₹1,65,999",4.7,12 GB RAM | 1024 GB ROM 17.53 cm (6.9 inch) Quad HD+ Display 200MP + 50MP + 50MP + 10MP | 12MP Front Camera 5000 mAh Battery 8 Elite for Galaxy Processor,NA,"Overall Excellent phone Excellent Product...I just loved it  Awesome product with best exchange price. Nice Mobile Totally worth it, just shifted from an iPhone, was worried that I won't like the interface but no, this phone feels great and very premium in your hands, loved the design and features and the performance it delivers will blow your mind Just one word Beast ( all rounder) ,just go for it Good Go for it I have upgraded over from an iPhone 12 Pro Max, and I'm incredibly impressed.  This phone is a powerhouse!  Here's my feedback:Camera: The camera system is simply outstanding.  The zoom capabilities are mind-blowing, and the image quality, even in low light, surpasses anything I've experienced on a smartphone, including my previous iPhone.  The detail and clarity are remarkable, and I'm constantly amazed by the photos I can capture.  The various shooting modes offer a lot of creative control... THIS IS MY FIRST ULTRA PHONE AFTER USING FOR SOME DAYS MY FIRST IMPRESSION IS JUST WOW. CAMERA IS OUTSTANDING, DISPLAY IS CRISP AND ANTI REFLECTING COATING IS ADDING MORE FLAVOURS TO ITS DISPLAY.BUILD OF THIS FONE IS SUPERB. BATTERY IS UPTO THE MARK EASILY GIVE ONE DAY WITH MODERATETO HEAVY USE. PERFORMANCE IS TOP NOTCH   AI IS AMAZING. ONE UI7.0 IS THE BEST",https://flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-silverblue-1024-gb/p/itm7d0e1ef71672e?pid=MOBH8K8UFSUDUUZZ&lid=LSTMOBH8K8UFSUDUUZZBUZ1UW&marketplace=FLIPKART&q=samsung&store=search.flipkart.com&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_0b0neJnqRDe5ZsPTWen3W_-P6RvvEs-z-0SmfO0g3BI1TOHzJ0AAWsVxqlspke-EYWspES9tRJs7HcS7pbb_i_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=9lwvsvu6f40000001748879475910&qH=fe546279a62683de
"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)  (4 GB RAM)","₹6,499",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.12 cm (6.74 inch) HD+ Display 50MP + 2MP | 8MP Front Camera 5000 mAh Battery Helio G85 Processor,"The latest Samsung Galaxy F05 PLS LCD display provides immersive viewing experience with 20:9 Aspect Ratio, Full HD+ Resolution with 720 x 1600 Pixels and 60Hz Refresh Rate. 5000mAh battery gives you power to use your smartphone without worrying about frequent charging. And, you get up to 2 generations of Android Upgrades with 4 years of security updates that provides you the best OS experience available for the next 2 years with Samsung One UI. Powered by MediaTek Helio G85 processor you can easily multi-task and play games with ease. Brilliant 50MP Camera with 8MP Selfie Camera, lets you capture memories beautifully which you can share with your friends & family.","Phone looks is very nice, but one thing Phone Charger is necessary, but nowadays Samsung is not provide a charger, its unfair. Nice phone and amazing look and UI Nice phone Awesome thanks to flipkart Nice product Good product  Superb mobile . Performance and camera quality is awesome . I have noticed only drawback in the box not in the adapter for charging . Its must buy us. Back Camera 8/10Front Camera 7/10Battery  8.5/10Display  9/10Design   8/10Call quality 8/10Performance 8/10Best mobile under 6500 INR from Samsung... Nice one  Good",https://flipkart.com/samsung-galaxy-f05-twilight-blue-64-gb/p/itm84a914081ab93?pid=MOBH4GTXZ9ZRQ3SU&lid=LSTMOBH4GTXZ9ZRQ3SUXCBGGE&marketplace=FLIPKART&q=samsung&store=search.flipkart.com&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=592fe2ae-04c2-4e80-ae10-1ca35448dc9e.MOBH4GTXZ9ZRQ3SU.SEARCH&ppt=None&ppn=None&ssid=9lwvsvu6f40000001748879475910&qH=fe546279a62683de
"SAMSUNG Galaxy M35 5G (DayBreak Blue, 128 GB)  (6 GB RAM)","₹13,629",4.4,6 GB RAM | 128 GB ROM 16.76 cm (6.6 inch) Display 50MP Rear Camera 6000 mAh Battery,"Monster Battery: Stay powered throughout the day with the massive 6000mAh lithium-ion battery. Benefit from C-Type fast charging support (25W), ensuring you spend less time charging and more time enjoying your Monster.","This is perfect Phone is this segment Best in camera Too good phone and bigg display ossm expressions I gave 5/5 just reresentating the price point under 15k for this monster from samsung I Know u can get realme, poco, nothing and other options but beleive me premium is always premium... This is the first device from samsung in such a low range where the os (one ui) is faster and fluid with few premium seres features added in, as samsung has not made any compromise with this device for the first time. U are getting bixby with 70% bixby features which generally u get with high range a seres an... The camera quality is awesome ...the display also awesome...the battery life is too awesome...but only one problem ..u can't do heavy games...All-rounder phone... Best Phone In this budget range Really good phone I got under 15k...thanks Flipkart...charger not in the box I ordered it from Flipkart in 988 and back cover too in 311 with the phonePhone 10/10Speaker is stereo and bass is very good ,sound is loud and clear 10/10Camera 10/10 I gave 5/5 just reresentating the price point under 15k for this monster from samsung.I know u can get realme, poco, nothing and other options but beleive me premium is always premium...This is the first device from samsung in such a low range where the os (one ui) is faster and fluid with few premium seres features added in, as samsung has not made any compromise with this device for the first time.U are getting bixby with 70% bixby features which generally u get with high range a seres... Here is my opinion about it after using it for almost 1month-1.Design-though the device will be felt bulky for those whose hands are smaller in size but for those having medium or big palm,it is absolutely okk,u will be used to that 222gm of weight,i personally felt the design very attractive,the bezzels are evenly distributed round the phone,2.Display-its the biggest positive of this phone, samsung is known for its super smooth display quality,the 120hz super amoled display is butter smoot... All rounder phone off all time. So good phone",https://flipkart.com/samsung-galaxy-m35-5g-daybreak-blue-128-gb/p/itmd4d8ef7b859de?pid=MOBH2Y7HKCYDEHFZ&lid=LSTMOBH2Y7HKCYDEHFZTWHLBI&marketplace=FLIPKART&q=samsung&store=search.flipkart.com&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=592fe2ae-04c2-4e80-ae10-1ca35448dc9e.MOBH2Y7HKCYDEHFZ.SEARCH&ppt=None&ppn=None&ssid=9lwvsvu6f40000001748879475910&qH=fe546279a62683de
"SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB)  (4 GB RAM)","₹9,699",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB 17.02 cm (6.7 inch) HD+ Display 50MP + 2MP | 8MP Front Camera 5000 mAh Battery Dimensity 6300 Processor,NA,"Samsung Galaxy F06 5GThe Samsung Galaxy F06 5G delivers an excellent display with vibrant colors and smooth performance, making the gaming experience seamless. The battery life is impressive, ensuring long hours of usage without frequent charging.One of the standout features is its camera, which is among the best in this segment, especially with portrait mode capturing great details. Additionally, the phone is lightweight, making it comfortable to carry and use for extended periods. Overa... Perfect for students and professionals.  I bought this F06 5G phone for my online classes and work calls , and guess what ? Its been a game changer .  The 6GB Ram ensures smooth multitasking and the 5000mAH battery easily lasts a full day . The large 6-7 inch display is bright and perfect for reading PDFs and attending Zoom meetings. thank you Flipkart  Best product value for money Nice product Excellent Mobile Nice smartphone for daily use. One UI is great Side panel is plastic but look like alluminium nice item The Samsung Galaxy F06 5G offers impressive features for its price point. Users have praised its long-lasting 5000 mAh battery and reliable 5G connectivity. The device's 50 MP rear camera delivers decent photos in good lighting conditions, though the display's resolution is limited to HD+, which may not satisfy those seeking sharper visuals. Overall, it's a solid choice for budget-conscious consumers seeking essential smartphone functionalities. Nice phone is gud in the budget segment...",https://flipkart.com/samsung-galaxy-f06-5g-bahama-blue-128-gb/p/itm58189fada62cb?pid=MOBH9AS47XHFRMJY&lid=LSTMOBH9AS47XHFRMJYWI8CRI&marketplace=FLIPKART&q=samsung&store=search.flipkart.com&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=592fe2ae-04c2-4e80-ae10-1ca35448dc9e.MOBH9AS47XHFRMJY.SEARCH&ppt=None&ppn=None&ssid=9lwvsvu6f40000001748879475910&qH=fe546279a62683de
SAMSUNG Guru Music 2 B310ED  (White),₹907,3.2,32 MB RAM | 32 MB ROM | Expandable Upto 100 MB 4.57 cm (1.8 inch) VGA Display 0MP | 0MP Front Camera 800 mAh Battery NA Processor,"Samsung Guru music 2 proves otherwise. It comes with 16 GB of expandable memory which is large enough to store up to 3000 songs. This phone also features an advanced MP3 player and powerful loudspeakers so you feel your music.
Tough in build and smart-looking by design, the Samsung Guru Music 2 stands for everything you love about feature phones. Experience the magic for yourself.
This feature phone’s vibrant 5.08 cm (2) screen is designed to enhance your viewing experience. Its sleek body hits the right spot when it comes to aesthetics.
Its 16 GB of expandable memory can hold up to 3000 songs. The phone features a dedicated play-pause button for easy navigation while listening to music, and advanced MP3 player, and powerful loudspeakers for an enjoyable audio experience.",SCAM! The product works for a day then dies.. DON'T BUY the motherboard was not working.. CHEATERS!!! This is not working mob phone insert the sim is not working no network Battery not working Scam!! This is very worst experience with this mobile product. flipkart team kindly look into this type sellers will harm your company brand value.Charger is not working and product quality is not good all accessories very bad strong chemical smell. Mobile box is not proper. Nice phone for calling only No sound system poor Charging system kharab Bed Products Nice product super mobile  Nice product,https://flipkart.com/samsung-guru-music-2-b310ed/p/itm1a9e227b47cb8?pid=MOBH88FXTN7H6H9F&lid=LSTMOBH88FXTN7H6H9FC24SP3&marketplace=FLIPKART&q=samsung&store=search.flipkart.com&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=592fe2ae-04c2-4e80-ae10-1ca35448dc9e.MOBH88FXTN7H6H9F.SEARCH&ppt=None&ppn=None&ssid=9lwvsvu6f40000001748879475910&qH=fe546279a62683de
"SAMSUNG Galaxy M35 5G (Thunder Grey, 128 GB)  (6 GB RAM)","₹13,649",4.4,6 GB RAM | 128 GB ROM 16.76 cm (6.6 inch) Display 50MP Rear Camera 6000 mAh Battery,"Monster Battery: Stay powered throughout the day with the massive 6000mAh lithium-ion battery. Benefit from C-Type fast charging support (25W), ensuring you spend less time charging and more time enjoying your Monster.","This is perfect Phone is this segment Best in camera Too good phone and bigg display ossm expressions I gave 5/5 just reresentating the price point under 15k for this monster from samsung I Know u can get realme, poco, nothing and other options but beleive me premium is always premium... This is the first device from samsung in such a low range where the os (one ui) is faster and fluid with few premium seres features added in, as samsung has not made any compromise with this device for the first time. U are getting bixby with 70% bixby features which generally u get with high range a seres an... The camera quality is awesome ...the display also awesome...the battery life is too awesome...but only one problem ..u can't do heavy games...All-rounder phone... Best Phone In this budget range Really good phone I got under 15k...thanks Flipkart...charger not in the box I ordered it from Flipkart in 988 and back cover too in 311 with the phonePhone 10/10Speaker is stereo and bass is very good ,sound is loud and clear 10/10Camera 10/10 I gave 5/5 just reresentating the price point under 15k for this monster from samsung.I know u can get realme, poco, nothing and other options but beleive me premium is always premium...This is the first device from samsung in such a low range where the os (one ui) is faster and fluid with few premium seres features added in, as samsung has not made any compromise with this device for the first time.U are getting bixby with 70% bixby features which generally u get with high range a seres... Here is my opinion about it after using it for almost 1month-1.Design-though the device will be felt bulky for those whose hands are smaller in size but for those having medium or big palm,it is absolutely okk,u will be used to that 222gm of weight,i personally felt the design very attractive,the bezzels are evenly distributed round the phone,2.Display-its the biggest positive of this phone, samsung is known for its super smooth display quality,the 120hz super amoled display is butter smoot... All rounder phone off all time. So good phone",https://flipkart.com/samsung-galaxy-m35-5g-thunder-grey-128-gb/p/itm24a2a82cf1782?pid=MOBH2Z9HJYYQBFGD&lid=LSTMOBH2Z9HJYYQBFGDJNNGYL&marketplace=FLIPKART&q=samsung&store=search.flipkart.com&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=592fe2ae-04c2-4e80-ae10-1ca35448dc9e.MOBH2Z9HJYYQBFGD.SEARCH&ppt=None&ppn=None&ssid=9lwvsvu6f40000001748879475910&qH=fe546279a62683de
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)  (12 GB RAM)","₹1,41,999",4.7,12 GB RAM | 512 GB ROM 17.53 cm (6.9 inch) Quad HD+ Display 200MP + 50MP + 50MP + 10MP | 12MP Front Camera 5000 mAh Battery 8 Elite for Galaxy Processor,NA,"Overall Excellent phone Excellent Product...I just loved it  Awesome product with best exchange price. Nice Mobile Totally worth it, just shifted from an iPhone, was worried that I won't like the interface but no, this phone feels great and very premium in your hands, loved the design and features and the performance it delivers will blow your mind Just one word Beast ( all rounder) ,just go for it Good Go for it I have upgraded over from an iPhone 12 Pro Max, and I'm incredibly impressed.  This phone is a powerhouse!  Here's my feedback:Camera: The camera system is simply outstanding.  The zoom capabilities are mind-blowing, and the image quality, even in low light, surpasses anything I've experienced on a smartphone, including my previous iPhone.  The detail and clarity are remarkable, and I'm constantly amazed by the photos I can capture.  The various shooting modes offer a lot of creative control... THIS IS MY FIRST ULTRA PHONE AFTER USING FOR SOME DAYS MY FIRST IMPRESSION IS JUST WOW. CAMERA IS OUTSTANDING, DISPLAY IS CRISP AND ANTI REFLECTING COATING IS ADDING MORE FLAVOURS TO ITS DISPLAY.BUILD OF THIS FONE IS SUPERB. BATTERY IS UPTO THE MARK EASILY GIVE ONE DAY WITH MODERATETO HEAVY USE. PERFORMANCE IS TOP NOTCH   AI IS AMAZING. ONE UI7.0 IS THE BEST",https://flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-whitesilver-512-gb/p/itm28d4275302a07?pid=MOBH8K8URFQT737M&lid=LSTMOBH8K8URFQT737MZHYHWJ&marketplace=FLIPKART&q=samsung&store=search.flipkart.com&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_0b0neJnqRDe5ZsPTWen3W_-P6RvvEs-z-0SmfO0g3BJyhCCiwvd6zoy0Up7GmkjxDx38gzSzbcQfsVvA9OCp9q8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=9lwvsvu6f40000001748879475910&qH=fe546279a62683de
"SAMSUNG M05 (Mint Green, 64 GB)  (4 GB RAM)","₹6,797",4.3,4 GB RAM | 64 GB ROM 17.02 cm (6.7 inch) Display 50MP Rear Camera 5000 mAh Battery,"SIM Ejector Pin, USB Cable (Type C-to-C), Smartphone, Quick Start Guide 1 Lithium Ion batteries required. (included) Fast Charging Support, Dual SIM, Expandable Memory, Built-In GPS, Mobile Hotspot Capability","Everything is almost perfect at this price! Good Excellent  Good The first look of the product is amazing...there is no heating problem..it does not even look like a cheap phone...its design and battery performance is good (compared to it's price)...all over i will give a 9/10....! Nice Soon excellent phone i like it Nice got same product Medium product specialy used for home In this price range this is the best Smartphone. Samsung is the best as compared to redmi , realme oppo vivo etc -. Don't think so much go and buy this smartphone. I recommend to you all.",https://flipkart.com/samsung-m05-mint-green-64-gb/p/itm31b7d648fd40f?pid=MOBH4Z9VZNVRFV85&lid=LSTMOBH4Z9VZNVRFV85DGAJCI&marketplace=FLIPKART&q=samsung&store=search.flipkart.com&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=592fe2ae-04c2-4e80-ae10-1ca35448dc9e.MOBH4Z9VZNVRFV85.SEARCH&ppt=None&ppn=None&ssid=9lwvsvu6f40000001748879475910&qH=fe546279a62683de
"SAMSUNG Galaxy F16 5G (Vibing Blue, 128 GB)  (4 GB RAM)","₹11,999",4.2,4 GB RAM | 128 GB ROM 16.91 cm (6.657 inch) Full HD+ Display 50MP + 5MP + 2MP | 13MP Front Camera 5000 mAh Battery Dimensity 6300 Processor,NA,Good Such a good mobile at that price. Nothing bad good product Best gift for parents Fantastic tech material Great phone back camera is superb however front cam is so disappointing it's like the camera of those very old phone. Overall happy with the phone. Very smooth. Decent product in budgut Camera is worst don't buy F series instead buy A series  worst phone by samsung waste of money don't buy both camera is very low quality and overall performance is very bad don't buy this bad product Not at all optimized properly...so much lag is generated if the phone is little bit heated ... camera are very bad...if u want a good display then only go for this mobile... Awsome,https://flipkart.com/samsung-galaxy-f16-5g-vibing-blue-128-gb/p/itm21ffc210450ff?pid=MOBH9ASGPYCDE8VA&lid=LSTMOBH9ASGPYCDE8VAEXUXDN&marketplace=FLIPKART&q=samsung&store=search.flipkart.com&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=592fe2ae-04c2-4e80-ae10-1ca35448dc9e.MOBH9ASGPYCDE8VA.SEARCH&ppt=None&ppn=None&ssid=9lwvsvu6f40000001748879475910&qH=fe546279a62683de
